Group,Filename,Full_Path,Ch0_Intensity,Ch0_LaplacianVar,Ch1_Intensity,Ch1_LaplacianVar,Ch2_Intensity,Ch2_LaplacianVar,Num_Channels
SNCA x3,003002_r06c09f15_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c09f15_Composite_RGB.tif,1885.0857647462276,1098543.9483331086,680.0936994170096,93780.23898685216,792.6837062757202,11706.837496365042,3
SNCA x3,003002_r06c10f01_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c10f01_Composite_RGB.tif,6980.669292695473,25203854.118286017,2878.2116520919067,3502644.933421634,3353.0772385116597,277222.75377296726,3
SNCA x3,003002_r06c10f02_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c10f02_Composite_RGB.tif,3530.006675240055,5723242.667921406,1073.8718381344306,452396.9166002526,1304.9617712620027,23300.336124233167,3
SNCA x3,003002_r06c10f03_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c10f03_Composite_RGB.tif,6439.428403635116,29120952.968234733,2243.493634259259,2673733.156695606,3232.5374305555556,264028.33115750964,3
SNCA x3,003002_r06c10f04_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c10f04_Composite_RGB.tif,5578.873816872428,23387893.711517632,2398.722938100137,2772089.5104712048,2625.1172582304525,177936.8651701931,3
SNCA x3,003002_r06c10f05_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c10f05_Composite_RGB.tif,3801.4443904320988,13936298.656406987,2665.781316872428,2053586.1315602679,1544.9672196502058,156918.45931289918,3
SNCA x3,003002_r06c10f06_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c10f06_Composite_RGB.tif,9143.345925925925,46791088.911891274,4261.84390260631,5953576.367890188,3590.717811213992,344649.8679942591,3
SNCA x3,003002_r06c10f07_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c10f07_Composite_RGB.tif,2947.810553840878,4365329.917646799,808.9048465363512,267654.3651232511,1075.6973276748972,20314.658416620918,3
SNCA x3,003002_r06c10f08_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c10f08_Composite_RGB.tif,4334.223293038409,20663113.727199193,3217.0676440329216,3001985.580571701,1764.7699562757202,179093.51681050233,3
SNCA x3,003002_r06c10f09_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c10f09_Composite_RGB.tif,4645.533611111111,13523535.435223276,2818.4262851508915,2562938.295920868,2330.256370884774,209341.0275166203,3
